factor,level,n,robust_score,dr_mean_survival,dr_worst_survival,dr_mean_return,dr_mean_tracking_error
expert_dr,default,12,43.82074021762608,0.4662239871176983,0.1930452157426245,61.19605066335562,0.0929050657691227
expert_dr,friend_full,12,31.926463931788284,0.29884405672855957,0.10142379896811221,38.050006209048675,0.08565908065065742
expert_dr,friend_half,12,40.51909193238863,0.45392547645038606,0.15303854103186754,59.05630126351545,0.12090428214934137
dataset_dr,default,12,45.85019690728896,0.5340864450417132,0.13440777553612396,72.07721176046388,0.09089100081473589
dataset_dr,friend_full,12,31.030248085812232,0.29927580133833925,0.14585714635753882,36.02279066454552,0.12802368278304735
dataset_dr,friend_half,12,39.38585108870181,0.38563127391659147,0.16724263384894147,50.202355710910346,0.08055374497133824
interface_noise,action_noise,9,38.655255200122724,0.4134830213171814,0.12732088943143383,53.49836195391995,0.09343831572267744
interface_noise,action_obs_noise,9,32.89869283176934,0.29684879072373965,0.1674813104967924,36.50335848443401,0.10658651983572377
interface_noise,none,9,40.61527577298353,0.46077350556591307,0.09928393164798824,61.36057781775282,0.08992272698216969
interface_noise,obs_noise,9,42.85250430419508,0.45421937612202445,0.20259060941392454,59.70751259178621,0.1093436755515911
