family,train_id,gap_train,dr,eval_id,eval_order,mean_step_reward,mean_episode_length,horizon_survival,non_timeout_terminations,error_vel_xy,error_vel_yaw,action_abs_mean,metrics_path
payload,G1_D1,G1,D1,M10,3,0.05999839498434542,2400.0,1.0,0,0.0930483341217041,0.045375920832157135,0.4960130689914028,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D1/M10/metrics.json
payload,G1_D2,G1,D2,M0,0,0.059399622935141755,2400.0,1.0,0,0.07088723033666611,0.08355545997619629,0.44812196816007294,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D2/M0/metrics.json
payload,G1_D2,G1,D2,M5,1,0.05992648904785559,2400.0,1.0,0,0.08179771155118942,0.06163264065980911,0.46866246341417234,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D2/M5/metrics.json
payload,G1_D2,G1,D2,M7p5,2,0.05981470561470398,2400.0,1.0,0,0.0904383733868599,0.05810227617621422,0.48591913589586816,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D2/M7p5/metrics.json
payload,G1_D2,G1,D2,M10,3,0.05953271861543574,2400.0,1.0,0,0.0996193215250969,0.059117622673511505,0.5050366722792387,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/payload_20260713_payload_0_vs_5to10kg/cross_eval/G1_D2/M10/metrics.json
rr_calf,G0_D0,G0,D0,S1p0,0,0.06099111350824581,2400.0,1.0,0,0.07886210083961487,0.0335133820772171,0.38266630596170825,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D0/S1p0/metrics.json
rr_calf,G0_D0,G0,D0,S0p75,1,0.06102095560456486,2400.0,1.0,0,0.07763045281171799,0.03363775461912155,0.3788115773846706,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D0/S0p75/metrics.json
rr_calf,G0_D0,G0,D0,S0p5,2,0.060284658413287055,2400.0,1.0,0,0.08656703680753708,0.03951296955347061,0.4003564622501532,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D0/S0p5/metrics.json
rr_calf,G0_D1,G0,D1,S1p0,0,0.06098381547566438,2400.0,1.0,0,0.06785133481025696,0.03491504490375519,0.3766264350215594,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D1/S1p0/metrics.json
rr_calf,G0_D1,G0,D1,S0p75,1,0.06094588569581411,2400.0,1.0,0,0.06928808987140656,0.03908652439713478,0.3754812015220523,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D1/S0p75/metrics.json
rr_calf,G0_D1,G0,D1,S0p5,2,0.05970498530923787,1263.5,0.5264583333333334,8,0.08301835507154465,0.06242455169558525,0.3950472062950333,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D1/S0p5/metrics.json
rr_calf,G0_D2,G0,D2,S1p0,0,0.06078030635804187,2400.0,1.0,0,0.07471771538257599,0.04365285113453865,0.37353107417623205,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D2/S1p0/metrics.json
rr_calf,G0_D2,G0,D2,S0p75,1,0.06076893199703818,2400.0,1.0,0,0.07621505111455917,0.042998459190130234,0.37095185097306965,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D2/S0p75/metrics.json
rr_calf,G0_D2,G0,D2,S0p5,2,0.05994590422498694,2400.0,1.0,0,0.08897925168275833,0.052367378026247025,0.38405280485749244,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G0_D2/S0p5/metrics.json
rr_calf,G1_D0,G1,D0,S1p0,0,0.06088794116649273,2400.0,1.0,0,0.06306008249521255,0.041667863726615906,0.40074427941193186,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D0/S1p0/metrics.json
rr_calf,G1_D0,G1,D0,S0p75,1,0.061021936373107905,2400.0,1.0,0,0.06169235333800316,0.04085417091846466,0.4011684004962444,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D0/S0p75/metrics.json
rr_calf,G1_D0,G1,D0,S0p5,2,0.06081224966961311,2400.0,1.0,0,0.06548362970352173,0.04199718311429024,0.4090478184819222,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D0/S0p5/metrics.json
rr_calf,G1_D1,G1,D1,S1p0,0,0.06090367300538475,2400.0,1.0,0,0.06424837559461594,0.03478389233350754,0.39316243497033915,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D1/S1p0/metrics.json
rr_calf,G1_D1,G1,D1,S0p75,1,0.06103878280943112,2400.0,1.0,0,0.0645868107676506,0.035204365849494934,0.39052484738330046,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D1/S0p75/metrics.json
rr_calf,G1_D1,G1,D1,S0p5,2,0.060789322611740366,2400.0,1.0,0,0.0701499730348587,0.03798013553023338,0.39579256704698007,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D1/S0p5/metrics.json
rr_calf,G1_D2,G1,D2,S1p0,0,0.06070056856846956,2400.0,1.0,0,0.07312972098588943,0.042145080864429474,0.3870981437464555,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D2/S1p0/metrics.json
rr_calf,G1_D2,G1,D2,S0p75,1,0.060859944055484144,2400.0,1.0,0,0.07186359167098999,0.04270925745368004,0.38442712164173526,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D2/S0p75/metrics.json
rr_calf,G1_D2,G1,D2,S0p5,2,0.06066158317232521,2400.0,1.0,0,0.07574809342622757,0.044427886605262756,0.391381147193412,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_gap_experts/rr_calf_20260713_rrcalf_1_vs_0p5to1/cross_eval/G1_D2/S0p5/metrics.json
